,Education,Alcohol,Party,Grades,G3
0,7,3,5,31,15
1,2,7,10,11,0
2,8,5,6,21,12
3,5,2,5,13,6
4,5,2,4,27,14
5,6,5,6,18,8
6,3,4,8,11,5
7,8,5,7,21,11
8,7,7,9,22,10
9,5,2,2,32,17
10,8,3,6,28,14
11,3,4,6,13,7
12,5,5,6,26,14
13,5,5,5,15,0
14,8,10,10,22,11
15,4,3,5,17,11
16,4,3,3,17,0
17,2,5,6,18,10
18,2,6,7,15,8
19,8,4,3,22,10
20,5,2,6,13,6
21,6,2,5,29,13
22,4,5,6,25,13
23,4,8,9,14,0
24,4,2,5,24,11
25,3,6,5,28,13
26,7,2,3,16,6
27,4,2,4,19,10
28,6,8,8,23,13
29,3,2,6,17,10
30,6,4,6,14,8
31,8,2,3,29,15
32,8,6,4,26,11
33,7,3,4,31,16
34,2,2,4,10,6
35,4,5,6,26,15
36,4,2,3,15,8
37,7,4,8,33,18
38,6,2,5,7,0
39,8,2,4,37,19
40,6,5,4,20,10
41,7,2,3,16,0
42,3,2,5,7,0
43,4,2,2,19,0
44,4,2,5,25,14
45,8,5,8,18,9
46,7,3,5,21,10
47,4,10,7,27,13
48,5,2,3,13,0
49,3,4,5,17,8
50,6,6,8,31,15
51,2,5,5,19,10
52,6,4,6,15,9
53,4,2,3,28,15
54,7,2,4,20,11
55,4,5,5,32,16
56,5,4,6,18,10
57,2,3,5,8,0
58,4,3,4,24,11
59,4,2,4,16,0
60,3,6,8,17,10
61,8,5,8,29,14
62,7,2,3,29,15
63,8,2,4,11,0
64,6,2,4,34,18
65,6,7,7,18,9
66,8,2,3,26,14
67,5,3,5,21,10
68,7,3,5,10,5
69,4,2,3,30,16
70,3,3,7,5,0
71,6,2,4,26,14
72,4,3,5,36,19
73,5,2,3,34,19
74,4,2,5,19,0
75,7,2,2,22,11
76,7,3,4,26,13
77,7,3,5,20,11
78,6,2,3,29,15
79,5,6,8,16,8
80,2,5,6,31,15
81,8,4,4,31,16
82,3,7,10,15,8
83,2,2,5,11,0
84,7,2,3,33,16
85,4,2,6,20,11
86,6,7,6,17,10
87,8,9,10,24,13
88,6,6,7,23,11
89,7,4,8,24,11
90,3,2,2,26,13
91,2,2,2,11,0
92,5,3,4,25,12
93,3,4,4,29,14
94,6,4,5,22,10
95,7,3,5,27,13
96,5,3,5,24,11
97,5,5,6,19,10
98,7,2,2,29,15
99,7,2,3,17,11
100,5,6,9,14,8
101,5,2,5,19,8
102,3,3,5,22,12
103,6,2,4,21,10
104,2,6,10,13,7
105,6,5,6,23,11
106,4,3,5,14,6
107,2,5,6,25,12
108,3,3,5,16,0
109,8,3,3,13,0
110,7,5,5,23,11
111,6,7,9,22,10
112,3,6,6,20,12
113,2,2,3,24,12
114,7,5,8,20,9
115,2,2,3,16,6
116,7,6,9,12,4
117,3,4,7,29,14
118,4,2,4,24,11
119,4,10,8,25,13
120,6,2,4,31,17
121,8,8,8,14,7
122,8,5,7,36,18
123,5,4,6,20,10
124,8,5,7,19,0
125,5,3,5,21,10
126,5,2,2,15,6
127,8,2,6,29,16
128,8,2,4,24,14
129,3,5,6,26,12
130,6,4,6,17,10
131,6,3,5,27,12
132,4,3,6,15,6
133,6,8,9,18,10
134,5,7,8,20,10
135,7,6,8,20,10
136,5,3,4,23,11
137,7,2,5,19,9
138,6,2,4,21,11
139,8,5,8,25,13
140,6,5,7,24,11
141,8,4,8,20,9
142,3,6,8,7,0
143,2,6,6,17,9
144,7,5,6,18,10
145,4,2,4,17,7
146,4,2,5,16,8
147,4,4,5,14,7
148,3,9,7,18,9
149,4,3,6,30,15
150,4,5,6,15,8
151,8,3,5,18,9
152,6,3,5,25,12
153,7,3,5,26,14
154,8,2,3,27,15
155,8,4,5,21,11
156,2,6,6,18,7
157,4,5,7,24,12
158,8,2,5,37,19
159,8,7,10,36,18
160,2,2,4,25,12
161,5,10,10,24,13
162,7,2,6,6,0
163,2,2,5,17,10
164,8,4,4,26,13
165,8,5,7,18,11
166,6,5,9,23,11
167,1,2,3,28,16
168,8,2,4,37,18
169,8,3,5,27,14
170,7,2,3,38,20
171,6,2,3,18,12
172,4,3,5,27,13
173,3,2,3,18,9
174,7,2,4,9,0
175,7,5,6,17,8
176,7,3,7,18,8
177,4,2,6,13,0
178,4,6,8,26,12
179,8,3,5,25,13
180,4,2,3,23,13
181,6,4,5,30,14
182,6,2,3,18,10
183,8,2,3,20,11
184,2,2,3,17,10
185,7,4,4,12,0
186,8,2,5,22,11
187,6,4,8,19,10
188,7,2,4,27,14
189,8,2,5,17,8
190,4,7,9,30,16
191,4,5,7,20,10
192,8,10,8,26,12
193,6,4,6,27,14
194,5,2,3,23,12
195,8,4,7,19,9
196,8,7,6,20,12
197,7,2,2,27,15
198,2,6,10,17,10
199,4,3,4,32,15
200,7,2,4,31,18
201,8,4,5,20,0
202,1,2,3,15,9
203,6,3,5,16,8
204,2,4,7,18,10
205,4,2,6,15,0
206,3,3,5,31,15
207,6,2,4,27,14
208,7,2,3,23,13
209,8,2,5,17,8
210,3,3,7,6,0
211,3,4,4,24,11
212,4,4,7,23,12
213,8,3,4,18,10
214,5,3,4,34,18
215,6,6,8,18,9
216,5,5,8,14,7
217,5,2,4,35,18
218,8,2,4,23,14
219,5,3,4,21,11
220,4,2,4,19,0
221,6,3,4,16,10
222,5,2,4,26,15
223,6,2,3,27,13
224,5,2,4,23,13
225,6,2,4,29,15
226,3,3,5,23,11
227,6,2,4,20,10
228,8,2,3,28,14
229,8,4,6,28,14
230,7,8,8,19,9
231,4,3,4,13,6
232,7,6,10,32,16
233,8,8,10,23,13
234,4,6,9,17,8
235,5,2,3,24,13
236,4,2,3,22,11
237,2,10,10,18,11
238,6,2,4,19,9
239,8,2,5,31,15
240,7,4,6,28,15
241,4,6,8,20,10
242,2,4,7,26,12
243,2,6,8,14,5
244,5,5,8,26,13
245,2,6,6,28,15
246,4,6,8,13,8
247,4,2,5,24,14
248,4,2,4,22,10
249,3,4,4,13,0
250,4,4,6,22,11
251,2,4,6,22,10
252,8,4,7,24,10
253,8,3,5,28,14
254,4,2,3,21,10
255,8,2,4,28,15
256,4,5,7,20,10
257,7,2,4,26,15
258,6,5,8,11,6
259,4,2,3,20,9
260,2,3,3,13,0
261,4,3,7,19,11
262,5,2,4,22,10
263,3,2,3,25,12
264,7,2,3,16,8
265,6,2,4,31,16
266,6,5,5,33,17
267,4,10,10,21,10
268,3,4,7,23,11
269,8,6,7,22,11
270,7,4,5,35,18
271,5,4,7,29,15
272,4,4,5,20,9
273,3,3,6,29,14
274,3,2,3,19,9
275,6,2,4,29,16
276,6,2,4,26,13
277,5,4,8,29,14
278,8,2,2,33,17
279,6,2,4,24,13
280,2,2,4,22,11
281,5,2,3,14,9
282,2,6,7,16,8
283,8,3,6,25,14
284,6,2,3,19,8
285,6,2,3,29,15
286,7,2,3,24,11
287,3,3,7,12,6
288,6,2,4,26,12
289,4,10,10,14,8
290,6,2,5,19,9
291,7,5,9,24,12
292,8,2,4,33,17
293,5,4,5,22,12
294,4,5,8,26,11
295,6,2,6,21,9
296,8,3,6,30,16
297,5,4,7,31,15
298,6,2,4,20,10
299,3,9,9,15,8
300,8,3,3,18,10
301,6,6,8,12,8
302,2,5,5,15,10
303,4,2,5,15,8
304,2,3,4,16,10
305,6,8,10,29,16
306,5,2,3,24,11
307,4,9,9,18,9
308,5,4,6,23,12
309,4,4,6,17,8
310,4,7,8,18,10
311,3,7,10,17,10
312,8,2,5,11,6
313,8,2,3,32,15
314,5,3,4,12,0
315,7,2,6,16,8
