,G2,G1,absences,failures,Mjob,romantic,Dalc,higher,paid,Medu,schoolsup,G3
0,15,16,2,0,teacher,no,1,yes,no,4,no,15
1,5,6,0,3,other,yes,2,no,no,1,no,0
2,11,10,2,0,teacher,no,2,yes,yes,4,no,12
3,6,7,10,0,services,no,1,yes,yes,3,no,6
4,14,13,0,0,other,no,1,yes,no,2,no,14
5,9,9,56,0,other,yes,2,yes,no,3,no,8
6,5,6,14,0,other,no,1,yes,no,1,no,5
7,11,10,6,0,health,no,2,yes,no,4,no,11
8,11,11,0,0,at_home,no,2,yes,yes,3,no,10
9,16,16,2,0,services,no,1,yes,no,2,yes,17
10,14,14,4,0,health,no,1,yes,no,4,no,14
11,6,7,5,0,other,yes,1,yes,no,2,no,7
12,13,13,7,0,other,yes,2,yes,no,3,no,14
13,8,7,0,0,other,yes,2,yes,yes,3,no,0
14,12,10,16,0,teacher,yes,5,yes,yes,4,no,11
15,10,7,25,1,other,yes,1,yes,no,2,no,11
16,8,9,0,1,at_home,yes,1,yes,no,2,no,0
17,9,9,6,0,at_home,no,1,yes,yes,1,no,10
18,7,8,8,3,other,no,3,yes,no,1,no,8
19,11,11,0,0,other,no,2,yes,yes,4,no,10
20,6,7,26,0,services,no,1,yes,yes,3,yes,6
21,14,15,20,1,other,yes,1,yes,no,3,no,13
22,13,12,2,0,services,no,2,yes,yes,2,no,13
23,7,7,0,1,other,no,3,no,no,2,no,0
24,12,12,0,0,other,no,1,yes,no,2,no,11
25,12,16,8,0,other,no,3,yes,no,1,no,13
26,8,8,8,0,other,yes,1,yes,yes,4,yes,6
27,10,9,4,0,at_home,no,1,yes,yes,2,no,10
28,13,10,6,0,other,no,4,yes,yes,3,no,13
29,9,8,2,0,other,yes,1,yes,yes,2,no,10
30,7,7,0,0,other,yes,1,yes,yes,3,no,8
31,15,14,4,0,teacher,no,1,yes,no,4,no,15
32,12,14,10,0,other,yes,4,yes,yes,4,no,11
33,15,16,9,0,teacher,yes,1,yes,no,4,no,16
34,5,5,4,0,at_home,no,1,yes,no,1,no,6
35,14,12,1,0,services,no,2,yes,no,3,no,15
36,8,7,8,0,other,no,1,yes,yes,2,yes,8
37,17,16,4,0,services,no,1,yes,yes,4,no,18
38,0,7,0,0,services,no,1,yes,no,3,no,0
39,19,18,6,0,teacher,no,1,yes,no,4,no,19
40,10,10,8,2,services,yes,2,yes,yes,3,no,10
41,9,7,0,0,teacher,no,1,yes,no,4,yes,0
42,0,7,0,0,other,yes,1,yes,yes,2,no,0
43,9,10,0,0,services,yes,1,yes,yes,2,no,0
44,13,12,0,0,other,no,1,yes,yes,2,yes,14
45,9,9,22,0,teacher,no,1,yes,yes,4,no,9
46,11,10,8,0,teacher,no,1,yes,yes,4,no,10
47,13,14,4,0,other,yes,5,yes,yes,2,no,13
48,7,6,0,3,health,no,1,yes,no,3,no,0
49,9,8,0,0,other,no,1,yes,no,2,no,8
50,16,15,4,0,health,no,2,yes,yes,4,no,15
51,10,9,2,0,other,no,2,yes,no,1,no,10
52,7,8,6,0,health,yes,1,yes,no,3,no,9
53,15,13,0,0,other,no,1,yes,yes,3,no,15
54,10,10,4,0,other,yes,1,yes,no,4,no,11
55,16,16,12,0,other,no,2,yes,no,3,no,16
56,10,8,6,0,other,no,1,yes,yes,2,yes,10
57,0,8,0,0,at_home,yes,1,yes,no,1,no,0
58,12,12,2,0,other,no,1,yes,yes,2,no,11
59,8,8,0,0,other,yes,1,yes,no,2,no,0
60,9,8,4,0,at_home,no,1,yes,no,1,no,10
61,14,15,4,0,teacher,no,1,yes,yes,4,no,14
62,15,14,0,0,services,no,1,yes,yes,4,no,15
63,0,11,0,0,services,yes,1,yes,no,4,no,0
64,18,16,2,0,services,no,1,yes,no,3,no,18
65,8,10,10,0,teacher,yes,3,yes,no,4,no,9
66,13,13,0,0,teacher,no,1,yes,no,4,no,14
67,10,11,0,0,at_home,yes,1,yes,yes,2,no,10
68,5,5,12,0,at_home,no,1,yes,no,3,no,5
69,16,14,0,0,other,yes,1,yes,no,2,no,16
70,0,5,0,3,other,no,1,yes,no,2,no,0
71,14,12,7,0,at_home,yes,1,yes,no,2,no,14
72,18,18,5,0,at_home,no,1,yes,yes,2,no,19
73,18,16,0,0,services,no,1,yes,yes,3,no,19
74,9,10,0,0,at_home,no,1,yes,no,2,no,0
75,11,11,12,0,services,no,1,yes,no,4,no,11
76,13,13,23,0,services,yes,1,yes,yes,4,no,13
77,10,10,2,0,teacher,no,1,yes,yes,4,no,11
78,15,14,0,0,services,yes,1,yes,no,2,no,15
79,8,8,30,0,services,yes,2,yes,yes,4,no,8
80,15,16,0,0,at_home,no,2,yes,no,0,no,15
81,15,16,5,0,teacher,yes,2,yes,yes,4,no,16
82,9,6,4,1,services,no,2,no,no,2,no,8
83,5,6,0,1,at_home,yes,1,yes,no,1,no,0
84,16,17,0,0,teacher,yes,1,yes,no,4,no,16
85,10,10,6,0,services,no,1,yes,yes,2,no,11
86,9,8,8,0,services,no,3,yes,no,3,no,10
87,12,12,13,0,services,yes,4,yes,yes,4,no,13
88,12,11,54,0,other,no,2,yes,yes,3,yes,11
89,11,13,4,0,services,yes,1,yes,yes,4,no,11
90,12,14,20,0,at_home,yes,1,no,no,2,no,13
91,5,6,0,1,other,no,1,yes,no,1,no,0
92,13,12,14,0,other,no,1,yes,yes,3,no,12
93,14,15,2,0,at_home,yes,2,yes,yes,1,no,14
94,11,11,0,0,services,yes,1,yes,no,3,no,10
95,13,14,6,0,other,no,1,yes,no,3,no,13
96,12,12,2,0,services,yes,1,yes,no,3,no,11
97,10,9,4,0,other,no,2,yes,yes,3,no,10
98,15,14,0,0,other,no,1,yes,yes,3,no,15
99,10,7,0,0,other,yes,1,yes,no,3,yes,11
100,8,6,0,1,services,no,2,no,no,3,no,8
101,8,11,2,0,at_home,no,1,yes,yes,2,yes,8
102,10,12,10,0,other,yes,1,yes,no,2,no,12
103,10,11,0,0,teacher,no,1,yes,yes,4,no,10
104,8,5,0,3,other,yes,1,no,no,1,no,7
105,11,12,11,0,teacher,yes,1,yes,yes,4,no,11
106,7,7,4,0,services,no,1,yes,yes,3,yes,6
107,12,13,2,1,at_home,no,2,no,no,1,no,12
108,8,8,0,0,services,no,1,yes,yes,2,no,0
109,6,7,0,0,teacher,yes,2,no,no,4,no,0
110,11,12,16,0,services,no,1,yes,no,3,no,11
111,11,11,6,1,health,no,3,yes,no,4,no,10
112,12,8,0,0,other,no,2,yes,no,2,no,12
113,12,12,1,0,at_home,no,1,yes,yes,1,no,12
114,10,10,0,0,teacher,yes,2,yes,yes,4,no,9
115,7,9,18,0,other,no,1,yes,yes,1,no,6
116,6,6,22,2,other,yes,2,yes,yes,4,no,4
117,14,15,6,0,services,no,1,yes,yes,2,no,14
118,11,13,8,0,other,yes,1,yes,no,2,no,11
119,13,12,0,0,other,no,5,yes,yes,2,no,13
120,15,16,7,0,services,no,1,yes,no,3,no,17
121,6,8,18,0,teacher,no,3,yes,no,4,no,7
122,18,18,24,1,services,no,2,yes,no,4,no,18
123,9,11,10,0,at_home,yes,1,yes,no,3,no,10
124,9,10,0,0,health,no,2,yes,yes,4,no,0
125,10,11,4,0,at_home,no,1,yes,no,2,no,10
126,7,8,0,0,other,no,1,yes,no,2,no,6
127,15,14,4,0,health,yes,1,yes,yes,4,no,16
128,13,11,2,0,other,no,1,yes,no,4,no,14
129,12,14,3,0,at_home,yes,2,no,yes,1,no,12
130,10,7,6,0,at_home,no,1,yes,no,3,yes,10
131,12,15,0,1,other,yes,1,yes,no,3,no,12
132,7,8,4,0,at_home,no,1,yes,no,2,no,6
133,9,9,8,0,teacher,no,3,yes,yes,3,no,10
134,9,11,19,1,teacher,no,3,yes,no,3,no,10
135,10,10,0,0,services,yes,2,yes,no,4,yes,10
136,10,13,22,1,services,yes,1,yes,yes,3,no,11
137,10,9,9,0,other,yes,1,yes,yes,4,no,9
138,11,10,10,0,other,no,1,yes,no,3,yes,11
139,11,14,18,0,health,no,1,yes,no,4,no,13
140,12,12,12,0,services,yes,2,yes,no,3,no,11
141,9,11,14,0,teacher,yes,1,yes,no,4,yes,9
142,0,7,0,1,other,no,2,yes,no,1,no,0
143,9,8,5,0,other,no,3,yes,no,1,no,9
144,9,9,6,0,teacher,no,2,yes,yes,4,no,10
145,8,9,16,1,other,yes,1,yes,no,3,no,7
146,9,7,0,0,teacher,no,1,yes,yes,3,no,8
147,7,7,5,3,services,no,2,yes,yes,3,no,7
148,8,10,14,0,at_home,yes,4,yes,yes,2,yes,9
149,14,16,6,0,services,no,1,yes,yes,2,no,15
150,7,8,7,1,at_home,yes,2,no,no,1,no,8
151,8,10,0,0,teacher,no,1,yes,yes,4,no,9
152,13,12,2,0,services,yes,1,yes,yes,3,no,12
153,13,13,14,0,health,yes,1,yes,no,4,no,14
154,15,12,0,0,health,no,1,yes,yes,4,no,15
155,12,9,3,0,other,no,2,yes,no,4,no,11
156,8,10,3,3,other,no,3,yes,no,1,no,7
157,12,12,6,0,services,yes,2,yes,yes,2,yes,12
158,18,19,0,0,other,no,1,yes,no,4,no,19
159,18,18,8,0,teacher,no,2,yes,yes,4,no,18
160,12,13,6,0,services,no,1,yes,yes,1,no,12
161,13,11,10,1,other,no,5,yes,no,3,no,13
162,0,6,0,0,teacher,no,1,yes,no,4,no,0
163,9,8,4,0,other,no,1,yes,no,1,yes,10
164,13,13,0,0,teacher,yes,2,yes,yes,4,no,13
165,10,8,0,0,services,no,2,yes,yes,4,yes,11
166,12,11,12,0,other,no,1,yes,no,3,no,11
167,15,13,2,0,other,yes,1,yes,yes,1,no,16
168,18,19,2,0,services,no,1,yes,no,4,no,18
169,14,13,6,0,services,no,1,yes,yes,4,no,14
170,19,19,4,0,health,no,1,yes,no,4,no,20
171,10,8,0,0,other,no,1,yes,no,3,no,12
172,13,14,12,1,services,no,1,yes,yes,3,no,13
173,9,9,8,0,health,yes,1,yes,no,2,no,9
174,0,9,0,0,at_home,yes,1,yes,no,3,no,0
175,8,9,10,0,teacher,no,2,yes,yes,4,no,8
176,8,10,10,0,other,yes,1,yes,yes,4,no,8
177,7,6,0,0,other,no,1,yes,yes,2,no,0
178,13,13,0,0,other,no,2,yes,no,2,no,12
179,13,12,4,0,teacher,no,1,yes,yes,4,no,13
180,13,10,6,1,at_home,no,1,yes,no,2,yes,13
181,15,15,2,0,teacher,no,2,yes,yes,4,no,14
182,10,8,4,0,other,no,1,yes,no,3,yes,10
183,11,9,2,0,teacher,no,1,yes,yes,4,no,11
184,10,7,2,1,at_home,no,1,yes,yes,1,yes,10
185,0,12,0,2,services,yes,2,yes,no,3,no,0
186,10,12,14,0,health,yes,1,yes,no,4,no,11
187,9,10,10,0,health,yes,1,yes,yes,4,no,10
188,13,14,0,0,other,no,1,yes,yes,4,no,14
189,8,9,15,1,health,yes,1,yes,no,4,yes,8
190,16,14,3,0,services,no,3,yes,no,3,no,16
191,10,10,2,0,at_home,no,1,no,no,1,no,10
192,13,13,4,0,other,yes,5,yes,no,4,no,12
193,14,13,4,0,other,no,1,yes,no,4,no,14
194,11,12,16,1,services,no,1,no,no,3,no,12
195,9,10,7,0,teacher,no,1,yes,yes,4,no,9
196,11,9,0,0,health,no,3,yes,yes,4,no,12
197,14,13,0,0,teacher,no,1,yes,no,4,no,15
198,8,9,6,3,at_home,no,1,yes,no,1,no,10
199,15,17,2,0,at_home,no,1,yes,no,2,no,15
200,16,15,2,0,teacher,no,1,yes,no,4,no,18
201,10,10,0,1,teacher,no,2,yes,no,4,no,0
202,8,7,2,3,at_home,no,1,no,no,0,no,9
203,8,8,10,0,other,no,1,yes,yes,3,no,8
204,9,9,4,0,other,no,1,yes,yes,1,no,10
205,7,8,0,3,at_home,yes,1,yes,no,1,no,0
206,15,16,2,0,at_home,no,1,yes,no,1,no,15
207,12,15,0,0,other,no,1,yes,yes,4,no,14
208,12,11,10,0,teacher,yes,1,yes,yes,4,no,13
209,9,8,38,1,teacher,yes,1,yes,yes,4,no,8
210,0,6,0,0,other,yes,1,no,no,2,no,0
211,11,13,3,1,other,no,2,yes,no,1,no,11
212,13,10,12,0,other,yes,1,yes,no,2,no,12
213,9,9,0,0,teacher,no,1,yes,yes,4,no,10
214,17,17,0,0,health,no,1,yes,yes,3,no,18
215,9,9,15,2,other,no,3,yes,yes,3,no,9
216,9,5,6,2,other,yes,1,yes,no,3,yes,7
217,18,17,0,0,services,no,1,yes,no,3,no,18
218,13,10,4,0,services,no,1,yes,no,4,no,14
219,10,11,4,0,other,no,1,yes,yes,2,yes,11
220,10,9,0,0,at_home,yes,1,yes,yes,2,no,0
221,10,6,4,0,other,no,1,yes,yes,3,no,10
222,14,12,0,0,other,no,1,yes,yes,3,no,15
223,14,13,0,0,other,no,1,yes,no,3,no,13
224,12,11,10,0,services,no,1,yes,no,2,no,13
225,14,15,4,2,health,yes,1,yes,yes,4,no,15
226,12,11,2,0,services,yes,1,yes,yes,1,no,11
227,10,10,0,0,other,no,1,yes,no,4,no,10
228,14,14,0,0,health,yes,1,yes,yes,4,no,14
229,14,14,2,0,health,no,1,yes,yes,4,no,14
230,9,10,4,0,teacher,no,4,yes,yes,4,no,9
231,6,7,18,0,other,no,1,yes,no,2,no,6
232,16,16,2,0,health,no,1,yes,no,4,no,16
233,13,10,6,0,other,yes,3,yes,yes,4,no,13
234,8,9,2,0,other,no,2,yes,no,2,no,8
235,12,12,4,0,other,no,1,yes,no,2,no,13
236,11,11,4,0,other,no,1,yes,yes,2,no,11
237,8,10,6,0,services,yes,5,yes,no,1,yes,11
238,9,10,4,0,other,no,1,yes,no,3,no,9
239,15,16,0,0,at_home,yes,1,yes,yes,4,no,15
240,15,13,0,0,health,yes,1,yes,yes,4,no,15
241,10,10,4,0,at_home,no,2,yes,yes,1,no,10
242,12,14,0,1,services,yes,1,yes,no,1,no,12
243,6,8,2,2,other,yes,2,yes,no,1,yes,5
244,13,13,0,0,at_home,yes,1,yes,no,1,no,13
245,15,13,0,0,other,no,2,yes,yes,0,no,15
246,7,6,15,1,services,no,2,yes,yes,2,no,8
247,13,11,6,0,services,no,1,yes,no,2,no,14
248,11,11,8,0,teacher,no,1,yes,no,4,no,10
249,6,7,0,2,at_home,yes,2,no,no,2,no,0
250,11,11,0,0,other,yes,1,yes,yes,2,no,11
251,10,12,18,1,at_home,no,1,yes,no,1,yes,10
252,11,13,0,0,teacher,no,1,yes,yes,4,no,10
253,14,14,4,0,teacher,yes,1,yes,yes,4,no,14
254,10,11,12,1,services,no,1,yes,yes,2,no,10
255,13,15,9,0,teacher,no,1,yes,yes,4,no,15
256,10,10,17,0,at_home,no,2,yes,yes,3,no,10
257,15,11,2,0,services,no,1,yes,no,4,yes,15
258,5,6,4,0,other,no,1,yes,no,3,no,6
259,9,11,12,0,other,yes,1,yes,no,2,no,9
260,6,7,0,1,other,yes,1,yes,yes,1,no,0
261,9,10,4,0,other,no,1,yes,no,2,no,11
262,11,11,2,0,other,no,1,yes,no,2,no,10
263,12,13,20,0,other,yes,1,yes,no,2,no,12
264,8,8,2,0,teacher,no,1,yes,yes,4,no,8
265,16,15,2,0,services,no,1,yes,no,4,no,16
266,17,16,0,0,services,no,2,yes,no,2,no,17
267,10,11,8,0,services,no,5,yes,no,2,no,10
268,12,11,4,1,services,yes,1,yes,yes,2,no,11
269,11,11,2,0,teacher,no,3,yes,yes,4,no,11
270,18,17,21,0,services,yes,1,yes,yes,4,no,18
271,15,14,2,0,other,no,1,yes,yes,3,no,15
272,10,10,14,1,other,no,2,yes,no,2,yes,9
273,14,15,8,0,other,no,1,yes,no,2,no,14
274,10,9,2,0,other,no,1,yes,no,1,yes,9
275,15,14,0,0,health,yes,1,yes,yes,4,no,16
276,12,14,6,0,teacher,no,1,yes,yes,4,no,13
277,14,15,4,0,other,yes,1,yes,yes,2,no,14
278,16,17,0,0,services,no,1,yes,no,4,no,17
279,13,11,2,0,health,no,1,yes,yes,4,no,13
280,11,11,2,0,other,no,1,yes,yes,1,no,11
281,7,7,4,2,services,yes,1,yes,no,3,no,9
282,8,8,4,1,other,no,3,yes,no,1,no,8
283,14,11,6,0,other,no,1,yes,no,4,no,14
284,9,10,2,0,services,no,1,yes,yes,2,yes,8
285,14,15,2,0,health,yes,1,yes,yes,4,no,15
286,12,12,2,0,services,no,1,yes,yes,3,yes,11
287,6,6,2,0,at_home,no,1,yes,no,2,no,6
288,12,14,8,1,services,no,1,yes,yes,2,no,12
289,8,6,16,3,services,yes,5,no,no,3,no,8
290,9,10,0,0,services,yes,1,yes,no,3,no,9
291,12,12,14,0,health,yes,1,yes,no,4,no,12
292,17,16,0,0,services,yes,1,yes,no,4,no,17
293,12,10,2,0,other,yes,1,yes,yes,2,yes,12
294,13,13,2,0,services,no,1,yes,yes,2,no,11
295,11,10,4,0,other,no,1,yes,yes,3,no,9
296,15,15,2,0,teacher,no,1,yes,no,4,no,16
297,15,16,10,0,other,no,1,yes,no,3,no,15
298,10,10,2,0,at_home,yes,1,yes,yes,2,no,10
299,8,7,12,0,at_home,no,4,yes,yes,1,no,8
300,10,8,12,0,services,no,1,yes,yes,4,no,10
301,6,6,13,1,services,no,2,yes,yes,3,no,8
302,8,7,10,3,at_home,no,2,yes,yes,1,yes,10
303,7,8,0,0,other,yes,1,yes,yes,2,no,8
304,8,8,2,0,other,no,1,yes,no,1,no,10
305,15,14,3,0,other,no,3,yes,no,3,no,16
306,11,13,40,1,other,yes,1,yes,no,2,no,11
307,9,9,11,2,services,no,4,yes,yes,2,no,9
308,11,12,2,0,services,no,1,yes,yes,2,no,12
309,9,8,2,0,health,no,1,yes,yes,2,yes,8
310,9,9,2,0,services,yes,3,yes,yes,3,no,10
311,9,8,0,3,services,no,2,yes,no,2,no,10
312,5,6,6,0,other,no,1,yes,no,4,yes,6
313,16,16,0,0,teacher,no,1,yes,no,4,no,15
314,5,7,0,1,services,no,1,yes,no,2,no,0
315,9,7,0,0,other,no,1,yes,yes,4,yes,8
