,school,sex,age,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,traveltime,studytime,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,health,absences,G3
158,MS,F,18,R,LE3,T,other,other,reputation,mother,2,3,no,no,no,no,yes,yes,yes,no,5,4,1,0,19
159,GP,M,16,R,GT3,T,teacher,teacher,course,mother,1,1,no,no,yes,yes,yes,yes,yes,no,3,5,4,8,18
160,GP,F,17,U,GT3,T,services,teacher,reputation,mother,1,3,no,yes,yes,no,yes,yes,yes,no,4,3,3,6,12
161,MS,M,18,R,GT3,T,other,other,course,mother,2,1,no,yes,no,no,no,yes,yes,no,2,5,5,10,13
162,GP,M,16,U,LE3,T,teacher,other,course,mother,1,1,no,no,no,yes,no,yes,yes,no,5,4,3,0,0
163,GP,F,18,U,GT3,T,other,other,home,mother,2,2,yes,no,no,yes,yes,yes,yes,no,5,4,4,4,10
164,MS,M,18,U,LE3,T,teacher,services,other,mother,2,3,no,no,yes,no,yes,yes,yes,yes,4,2,5,0,13
165,GP,F,15,U,GT3,T,services,services,course,mother,1,1,yes,yes,yes,no,yes,yes,yes,no,3,3,5,0,11
166,GP,F,16,U,LE3,A,other,services,home,mother,1,2,no,yes,no,no,yes,yes,yes,no,2,3,3,12,11
167,GP,M,16,U,GT3,T,other,other,reputation,mother,2,2,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,2,16
168,GP,M,15,U,GT3,T,services,teacher,course,father,1,2,no,yes,no,yes,yes,yes,yes,no,4,3,5,2,18
169,GP,F,16,U,GT3,T,services,services,reputation,mother,1,3,no,yes,yes,yes,yes,yes,yes,no,3,2,2,6,14
170,GP,M,16,U,GT3,T,health,services,reputation,mother,1,4,no,no,no,yes,yes,yes,yes,no,4,2,2,4,20
171,GP,M,15,U,LE3,T,other,other,course,mother,1,2,no,no,no,yes,no,yes,yes,no,5,3,2,0,12
172,GP,F,19,R,GT3,A,services,at_home,home,other,1,3,no,no,yes,no,yes,yes,no,no,5,4,5,12,13
173,GP,M,15,R,GT3,T,health,services,reputation,mother,1,2,no,no,no,yes,yes,yes,yes,yes,5,4,5,8,9
174,GP,M,15,R,GT3,T,at_home,teacher,course,mother,4,2,no,yes,no,no,yes,yes,no,yes,5,3,5,0,0
175,GP,M,16,U,GT3,T,teacher,other,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,no,3,4,3,10,8
176,GP,F,18,U,LE3,T,other,other,home,other,2,2,no,yes,yes,no,yes,yes,yes,yes,4,4,2,10,8
177,GP,F,16,U,GT3,T,other,other,home,mother,1,2,no,yes,yes,no,no,yes,yes,no,5,1,4,0,0
178,GP,M,16,U,LE3,T,other,other,reputation,mother,2,2,no,yes,no,yes,yes,yes,yes,no,5,4,5,0,12
179,MS,F,17,R,GT3,T,teacher,services,other,father,2,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,4,13
180,GP,F,16,U,GT3,T,at_home,other,home,mother,1,2,yes,no,no,yes,yes,yes,yes,no,3,1,5,6,13
181,GP,M,15,U,GT3,T,teacher,other,home,mother,1,2,no,yes,yes,no,yes,yes,no,no,4,3,5,2,14
182,GP,F,16,U,GT3,T,other,other,reputation,mother,3,2,yes,yes,no,yes,yes,yes,no,no,5,3,4,4,10
183,GP,F,15,U,GT3,T,teacher,services,course,mother,1,3,no,yes,yes,yes,yes,yes,yes,no,4,2,5,2,11
184,GP,F,15,R,GT3,T,at_home,other,home,mother,2,4,yes,yes,yes,yes,yes,yes,yes,no,3,1,1,2,10
185,GP,F,15,R,GT3,T,services,teacher,course,father,2,3,no,yes,no,no,yes,yes,yes,yes,4,2,5,0,0
186,GP,F,18,U,LE3,A,health,other,home,mother,1,2,no,yes,no,no,yes,yes,yes,yes,4,2,4,14,11
187,GP,M,18,U,GT3,T,health,other,reputation,father,1,2,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,10,10
188,GP,F,18,U,GT3,T,other,other,reputation,father,1,4,no,yes,yes,no,yes,yes,yes,no,4,3,3,0,14
189,GP,F,18,U,GT3,T,health,health,reputation,father,1,2,yes,yes,no,yes,yes,yes,yes,yes,2,4,4,15,8
190,MS,M,17,U,LE3,T,services,services,course,mother,2,1,no,no,no,no,no,yes,yes,no,2,4,2,3,16
191,GP,M,17,U,GT3,T,at_home,services,course,father,1,1,no,no,no,no,yes,no,yes,no,5,3,2,2,10
192,GP,M,15,U,GT3,A,other,services,reputation,mother,1,4,no,yes,no,yes,no,yes,yes,yes,1,3,3,4,12
193,GP,F,15,U,GT3,T,other,other,reputation,mother,1,3,no,yes,no,yes,yes,yes,yes,no,5,3,1,4,14
194,GP,M,16,U,GT3,T,services,services,course,mother,2,1,no,yes,no,yes,no,no,no,no,4,5,2,16,12
195,GP,F,17,U,GT3,T,teacher,services,course,mother,1,3,no,yes,yes,yes,yes,yes,yes,no,5,4,4,7,9
196,GP,M,15,U,GT3,T,health,services,home,mother,1,2,no,yes,yes,no,no,yes,yes,no,5,4,5,0,12
197,GP,M,15,U,GT3,T,teacher,other,reputation,mother,1,2,no,no,no,no,yes,yes,yes,no,4,4,1,0,15
198,GP,F,18,R,GT3,T,at_home,other,course,mother,3,1,no,yes,no,yes,no,yes,no,no,5,2,4,6,10
199,GP,M,16,R,GT3,T,at_home,other,course,mother,3,1,no,no,no,no,no,yes,no,no,4,2,3,2,15
200,GP,M,15,U,LE3,T,teacher,services,home,mother,1,3,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,18
201,GP,M,18,U,GT3,T,teacher,services,home,father,1,2,no,yes,no,yes,yes,yes,yes,no,4,3,2,0,0
202,GP,F,19,U,GT3,T,at_home,other,course,other,1,2,no,yes,no,no,no,no,no,no,3,4,5,2,9
203,GP,F,19,U,GT3,T,other,other,reputation,other,1,4,no,yes,yes,yes,yes,yes,yes,no,4,3,3,10,8
204,GP,F,17,U,GT3,T,other,other,course,mother,1,2,no,yes,yes,no,no,yes,no,no,4,4,1,4,10
205,GP,F,16,U,GT3,T,at_home,services,home,mother,1,2,no,no,no,yes,no,yes,yes,yes,4,3,3,0,0
206,GP,F,15,U,GT3,T,at_home,services,course,mother,1,2,no,no,no,no,no,yes,yes,no,3,2,1,2,15
207,GP,F,17,U,GT3,T,other,other,reputation,mother,2,3,no,yes,yes,no,yes,yes,yes,no,4,3,3,0,14
208,GP,F,16,U,GT3,T,teacher,other,other,mother,1,2,no,no,yes,yes,yes,yes,yes,yes,1,3,1,10,13
209,GP,M,19,U,GT3,T,teacher,services,reputation,other,2,1,no,yes,yes,no,yes,yes,yes,yes,4,3,4,38,8
210,GP,F,18,R,GT3,T,other,other,reputation,mother,2,2,no,yes,no,no,yes,no,yes,yes,4,3,3,0,0
211,GP,M,19,U,GT3,T,other,services,course,other,1,2,no,no,no,no,no,yes,yes,no,4,5,4,3,11
212,GP,F,17,U,LE3,T,other,other,course,father,1,1,no,yes,no,no,yes,yes,yes,yes,3,4,5,12,12
213,GP,F,16,U,LE3,T,teacher,teacher,reputation,mother,1,2,no,yes,yes,no,yes,yes,yes,no,4,5,3,0,10
214,GP,F,17,U,GT3,T,health,health,reputation,father,1,4,no,yes,yes,yes,no,yes,yes,no,5,2,5,0,18
215,GP,F,19,U,GT3,T,other,services,home,other,1,2,no,yes,yes,yes,yes,yes,yes,no,4,3,5,15,9
216,GP,M,15,R,GT3,T,other,other,course,mother,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,3,6,7
217,GP,M,20,U,GT3,A,services,other,course,other,1,1,no,no,no,yes,yes,yes,no,no,5,5,5,0,18
218,GP,M,15,U,GT3,T,services,other,course,mother,1,1,no,yes,no,yes,no,yes,yes,no,5,3,5,4,14
219,GP,M,15,U,GT3,T,other,other,home,mother,1,3,yes,no,yes,no,no,yes,yes,no,5,3,5,4,11
220,GP,F,18,U,GT3,T,at_home,services,home,mother,1,3,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,0,0
221,GP,F,16,U,GT3,T,other,other,home,father,1,2,no,yes,yes,no,yes,yes,no,no,4,3,5,4,10
222,GP,M,16,U,GT3,T,other,other,home,mother,1,1,no,yes,yes,no,no,yes,yes,no,5,4,5,0,15
223,GP,M,16,U,GT3,T,other,services,home,father,2,1,no,no,no,yes,yes,yes,yes,no,5,4,5,0,13
224,GP,F,16,U,GT3,T,services,services,course,mother,1,2,no,no,no,no,yes,yes,yes,no,4,3,2,10,13
225,MS,F,20,U,GT3,T,health,other,course,other,2,3,no,yes,yes,no,no,yes,yes,yes,5,4,3,4,15
226,GP,M,16,U,GT3,T,services,services,other,mother,1,1,no,yes,yes,yes,yes,yes,yes,yes,3,3,3,2,11
227,GP,M,15,U,GT3,T,other,other,course,mother,1,4,no,no,no,no,yes,yes,yes,no,3,3,3,0,10
228,GP,F,16,U,GT3,T,health,health,reputation,mother,1,2,no,yes,yes,no,yes,yes,yes,yes,4,4,3,0,14
229,GP,M,15,U,LE3,T,health,services,course,father,1,1,no,yes,yes,yes,yes,yes,yes,no,4,3,5,2,14
230,GP,M,17,U,LE3,T,teacher,other,course,mother,2,2,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,9
231,GP,F,17,R,GT3,T,other,other,reputation,mother,1,1,no,yes,no,no,yes,yes,yes,no,5,3,3,18,6
232,GP,F,16,U,GT3,T,health,other,home,mother,1,2,no,yes,no,yes,yes,yes,yes,no,4,3,2,2,16
233,GP,M,15,R,GT3,T,other,other,home,father,4,4,no,yes,yes,yes,yes,yes,yes,yes,1,3,1,6,13
234,GP,M,18,U,LE3,T,other,other,course,mother,1,4,no,yes,no,yes,yes,yes,yes,no,4,5,5,2,8
235,GP,M,17,U,GT3,T,other,other,course,father,2,1,no,no,no,no,yes,yes,yes,no,5,2,2,4,13
236,GP,M,17,R,GT3,T,other,other,course,father,2,2,no,yes,yes,yes,yes,yes,yes,no,4,5,1,4,11
237,GP,F,16,U,GT3,T,services,services,course,father,4,1,yes,yes,no,yes,no,yes,yes,yes,5,5,5,6,11
238,GP,F,17,U,GT3,T,other,other,home,mother,1,3,no,no,no,yes,no,yes,no,no,3,2,4,4,9
239,MS,F,17,U,LE3,T,at_home,at_home,course,mother,1,2,no,yes,yes,yes,yes,yes,yes,yes,2,3,1,0,15
240,GP,F,17,U,GT3,T,health,other,reputation,mother,1,3,no,yes,yes,yes,yes,yes,yes,yes,4,4,4,0,15
241,MS,M,18,R,GT3,T,at_home,other,course,mother,2,2,no,yes,yes,no,yes,yes,no,no,3,3,3,4,10
242,GP,M,16,U,LE3,T,services,other,course,mother,1,2,no,no,no,no,yes,yes,no,yes,4,4,5,0,12
243,GP,F,15,R,GT3,T,other,other,reputation,mother,1,2,yes,yes,no,no,no,yes,yes,yes,3,3,5,2,5
244,MS,F,18,R,LE3,A,at_home,other,course,mother,3,2,no,no,no,no,yes,yes,no,yes,4,3,5,0,13
245,GP,M,16,U,GT3,T,other,other,other,mother,1,1,no,no,yes,no,no,yes,yes,no,4,3,5,0,15
246,GP,M,18,U,GT3,T,services,other,home,mother,1,2,no,yes,yes,yes,yes,yes,yes,no,4,4,5,15,8
247,GP,M,15,U,LE3,T,services,health,reputation,mother,1,4,no,yes,no,yes,yes,yes,yes,no,4,3,4,6,14
248,GP,M,15,U,GT3,T,teacher,other,course,mother,2,4,no,no,no,yes,yes,yes,yes,no,3,4,1,8,10
249,GP,M,17,R,LE3,T,at_home,other,course,mother,2,1,no,no,no,yes,yes,no,yes,yes,3,3,5,0,0
250,GP,F,16,U,GT3,T,other,other,reputation,mother,1,4,no,no,yes,no,yes,yes,yes,yes,5,2,3,0,11
251,GP,F,19,U,LE3,T,at_home,other,reputation,other,1,2,yes,yes,no,yes,no,yes,yes,no,4,4,3,18,10
252,GP,M,17,U,LE3,T,teacher,other,reputation,mother,1,2,no,yes,yes,yes,yes,yes,yes,no,4,4,5,0,10
253,GP,F,17,U,GT3,T,teacher,teacher,course,mother,2,3,no,yes,yes,no,no,yes,yes,yes,4,3,4,4,14
254,GP,M,16,U,GT3,T,services,other,reputation,father,2,2,no,no,yes,yes,no,yes,yes,no,4,4,3,12,10
255,GP,M,18,U,LE3,A,teacher,teacher,reputation,mother,1,2,no,yes,yes,yes,yes,yes,yes,no,5,4,2,9,15
256,MS,F,17,R,GT3,T,at_home,other,reputation,mother,1,2,no,yes,yes,yes,no,yes,yes,no,4,5,1,17,10
257,GP,M,16,R,GT3,T,services,other,reputation,mother,2,1,yes,yes,no,yes,no,yes,yes,no,3,3,4,2,15
258,GP,M,17,U,GT3,T,other,other,reputation,father,1,2,no,no,no,yes,no,yes,yes,no,4,3,4,4,6
259,GP,F,17,U,GT3,T,other,other,course,mother,1,2,no,yes,no,no,yes,yes,no,yes,4,2,3,12,9
260,MS,F,17,R,GT3,T,other,services,reputation,mother,3,1,no,yes,yes,no,yes,yes,yes,yes,5,2,1,0,0
261,GP,F,17,U,GT3,T,other,other,course,mother,1,2,no,yes,no,no,no,yes,yes,no,5,4,5,4,11
262,MS,M,17,U,GT3,T,other,services,home,father,2,2,no,no,no,yes,yes,yes,yes,no,4,4,3,2,10
263,GP,F,16,U,GT3,T,other,other,home,mother,1,1,no,no,no,no,yes,yes,yes,yes,4,5,5,20,12
264,GP,M,18,U,GT3,T,teacher,other,course,mother,1,2,no,yes,yes,no,no,yes,yes,no,4,3,3,2,8
265,GP,F,16,U,GT3,T,services,other,course,mother,1,2,no,yes,no,no,yes,yes,yes,no,4,2,5,2,16
266,GP,F,17,U,GT3,T,services,services,reputation,father,1,2,no,yes,no,yes,yes,yes,no,no,5,4,5,0,17
267,GP,M,17,R,GT3,T,services,other,course,mother,4,1,no,yes,no,no,yes,yes,yes,no,4,4,4,8,10
268,GP,F,19,U,GT3,T,services,services,home,other,1,3,no,no,yes,yes,yes,yes,yes,yes,4,3,3,4,11
269,GP,F,18,U,GT3,T,teacher,other,course,mother,1,2,no,yes,yes,no,yes,yes,yes,no,4,4,5,2,11
270,GP,F,18,U,GT3,T,services,other,home,father,1,2,no,yes,yes,no,yes,yes,yes,yes,3,1,2,21,18
271,GP,F,17,U,LE3,T,other,other,reputation,mother,2,2,no,no,yes,no,yes,yes,yes,no,4,4,1,2,15
272,GP,F,16,U,LE3,T,other,at_home,course,father,2,2,yes,no,no,yes,yes,yes,yes,no,4,3,5,14,9
273,GP,M,18,U,GT3,T,other,other,home,mother,1,2,no,no,no,yes,yes,yes,yes,no,5,2,4,8,14
274,GP,M,15,U,LE3,T,other,at_home,home,father,1,2,yes,yes,no,yes,yes,yes,yes,no,4,3,5,2,9
275,GP,F,16,U,GT3,T,health,services,home,father,1,2,no,no,yes,no,yes,yes,yes,yes,4,2,3,0,16
276,GP,F,17,U,LE3,T,teacher,services,reputation,mother,1,4,no,yes,yes,yes,yes,yes,yes,no,4,2,4,6,13
277,GP,F,18,U,GT3,T,other,services,reputation,father,1,4,no,yes,yes,yes,yes,yes,yes,yes,4,5,2,4,14
278,GP,M,15,U,GT3,T,services,services,reputation,mother,2,2,no,yes,no,yes,yes,yes,yes,no,4,3,5,0,17
279,GP,F,15,U,LE3,T,health,other,other,mother,1,2,no,yes,yes,no,yes,yes,yes,no,4,3,5,2,13
280,GP,F,18,U,LE3,T,other,other,home,mother,2,2,no,yes,yes,no,no,yes,no,no,4,4,3,2,11
281,MS,F,19,U,LE3,T,services,services,home,other,2,2,no,no,no,yes,yes,yes,no,yes,3,2,3,4,9
282,MS,M,19,R,GT3,T,other,other,home,other,3,1,no,yes,no,no,yes,yes,yes,no,4,4,5,4,8
283,GP,F,16,U,GT3,T,other,other,reputation,mother,1,1,no,no,no,yes,no,yes,yes,no,5,3,1,6,14
284,GP,F,15,R,GT3,T,services,health,course,mother,1,3,yes,yes,yes,yes,yes,yes,yes,no,4,3,5,2,8
285,GP,F,15,U,GT3,T,health,services,home,mother,1,3,no,yes,yes,yes,yes,yes,yes,yes,3,2,5,2,15
286,GP,F,15,R,GT3,T,services,health,course,mother,1,3,yes,yes,yes,yes,yes,yes,yes,no,4,3,5,2,11
287,GP,F,17,R,GT3,T,at_home,services,reputation,mother,2,2,no,yes,no,yes,yes,yes,yes,no,4,2,5,2,6
288,GP,F,18,U,GT3,T,services,at_home,reputation,other,1,2,no,yes,yes,yes,yes,yes,yes,no,4,4,3,8,12
289,GP,M,22,U,GT3,T,services,services,other,mother,1,1,no,no,no,no,no,no,yes,yes,5,4,1,16,8
290,MS,F,18,U,GT3,T,services,services,course,father,1,2,no,yes,no,no,yes,yes,no,yes,5,3,5,0,9
291,GP,M,17,U,LE3,T,health,other,course,mother,2,2,no,no,no,yes,yes,yes,yes,yes,2,5,5,14,12
292,GP,M,16,U,GT3,T,services,teacher,other,father,1,3,no,yes,no,yes,yes,yes,yes,yes,4,4,4,0,17
293,GP,M,15,U,GT3,T,other,services,course,father,1,1,yes,yes,yes,yes,no,yes,yes,yes,3,2,3,2,12
294,GP,F,16,U,GT3,T,services,other,reputation,mother,2,2,no,no,yes,yes,no,yes,yes,no,3,4,5,2,11
295,GP,F,16,U,LE3,T,other,other,reputation,mother,2,2,no,yes,yes,yes,yes,yes,yes,no,4,4,4,4,9
296,GP,M,16,U,GT3,T,teacher,teacher,course,father,1,2,no,yes,no,yes,yes,yes,yes,no,5,4,5,2,16
297,GP,F,17,U,GT3,T,other,other,course,mother,1,2,no,no,no,yes,no,yes,yes,no,5,3,3,10,15
298,GP,F,17,U,GT3,T,at_home,health,reputation,mother,2,2,no,yes,yes,no,yes,yes,yes,yes,4,3,1,2,10
299,GP,M,17,U,GT3,T,at_home,services,other,other,2,2,no,no,yes,yes,no,yes,yes,no,4,4,5,12,8
300,GP,F,17,R,LE3,T,services,other,other,mother,1,1,no,yes,yes,no,yes,yes,no,no,5,2,3,12,10
301,GP,M,18,U,LE3,T,services,health,home,father,1,2,no,yes,yes,no,yes,yes,yes,no,3,2,4,13,8
302,GP,F,15,U,LE3,T,at_home,other,other,mother,1,2,yes,no,yes,no,yes,yes,yes,no,4,3,3,10,10
303,GP,F,16,U,GT3,T,other,other,home,mother,1,2,no,no,yes,no,yes,yes,yes,yes,5,4,5,0,8
304,MS,F,18,R,GT3,T,other,other,home,mother,4,3,no,no,no,no,yes,yes,yes,no,4,3,4,2,10
305,GP,M,17,U,GT3,T,other,services,reputation,mother,1,1,no,no,no,yes,no,yes,yes,no,4,3,5,3,16
306,GP,F,19,R,GT3,T,other,other,reputation,other,1,3,no,no,no,no,yes,yes,yes,yes,4,1,3,40,11
307,MS,M,20,U,LE3,A,services,services,course,other,1,2,no,yes,yes,no,yes,yes,no,no,5,5,4,11,9
308,GP,M,17,U,LE3,T,services,services,reputation,father,1,2,no,yes,yes,no,no,yes,yes,no,5,3,3,2,12
309,GP,F,15,R,LE3,T,health,services,reputation,mother,2,2,yes,yes,yes,no,yes,yes,yes,no,4,1,4,2,8
310,GP,M,17,U,GT3,T,services,other,other,mother,1,2,no,no,yes,yes,yes,yes,yes,yes,5,4,5,2,10
311,GP,M,15,U,LE3,A,services,other,course,mother,4,1,no,no,no,no,yes,yes,yes,no,4,5,5,0,10
312,GP,F,17,U,GT3,A,other,teacher,home,mother,2,2,yes,yes,no,no,yes,yes,no,no,4,1,1,6,6
313,GP,F,15,U,GT3,T,teacher,teacher,course,mother,2,1,no,no,no,yes,yes,yes,yes,no,4,3,5,0,15
314,MS,F,19,R,GT3,T,services,other,course,mother,1,3,no,no,no,yes,no,yes,yes,no,5,4,5,0,0
315,GP,F,16,U,GT3,T,other,at_home,course,mother,1,3,yes,yes,yes,no,yes,yes,yes,no,5,3,3,0,8
